Airline Name,IATA Designator,3-Digit Code,ICAO Designator,Country
Avianca Brasil,O6,247,ONE,Brazil
Azerbaijan Airlines,J2,771,AHY,Azerbaijan
B&H Airlines,JA*,995,BON,Bosnia and Herzegovina
Bangkok Air,PG,829,BKP,Thailand
Belavia - Belarusian Airlines,B2,628,BRU,Belarus
BH AIR,8H,366,BGH,Bulgaria
Biman,BG,997,BBC,Bangladesh
Binter Canarias,NT,474,IBB,Spain
Blue Panorama,BV,004,BPA,Italy
Blue1,KF,142,BLF,Finland
bmi Regional,BM,480,BMR,United Kingdom
Boliviana de Aviación - BoA,OB,930,BOV,Bolivia
British Airways,BA,125,BAW,United Kingdom
Brussels Airlines,SN,082,BEL,Belgium
Bulgaria air,FB,623,LZB,Bulgaria
C.A.L. Cargo Airlines,5C,700,ICL,Israel
Cargojet Airways,W8,489,CJT,Canada
Cargolux S.A.,CV,172,CLX,Luxembourg
Caribbean Airlines,BW,106,BWA,Jamaica
Carpatair,V3,021,KRP,Romania
Cathay Pacific,CX,160,CPA,"Hong Kong SAR, China"
China Airlines,CI,297,CAL,Chinese Taipei
China Cargo Airlines,CK,112,,China (People's Republic of)
China Eastern,MU,781,CES,China (People's Republic of)
China Postal Airlines,8Y*,804,CYZ,China (People's Republic of)
China Southern Airlines,CZ,784,CSN,China (People's Republic of)
CityJet,WX,689,BCY,Ireland
Comair,MN,161,CAW,South Africa
Condor,DE,881,CFG,Germany
COPA Airlines,CM,230,CMP,Panama
Corendon Airlines,XC,395,CAI,Turkey
Corsair International,SS,923,CRL,France
Croatia Airlines,OU,831,CTN,Croatia
Cubana,CU,136,CUB,Cuba
Cyprus Airways,CY,048,CYP,Cyprus
Czech Airlines j.s.c,OK,064,CSA,Czech Republic
Delta Air Lines,DL,006,DAL,United States
DHL Air,D0,936,DHK,United Kingdom
DHL Aviation EEMEA B.S.C.(c),ES*,155,DHX,Bahrain
Donavia,D9,733,DNV,Russian Federation
Dragonair,KA,043,HDA,"Hong Kong SAR, China"
Egyptair,MS,077,MSR,Egypt
EL AL,LY,114,ELY,Israel
Emirates,EK,176,UAE,United Arab Emirates
Estonian Air,OV,960,ELL,Estonia
Ethiopian Airlines,ET,071,ETH,Ethiopia
Etihad Airways,EY,607,ETD,United Arab Emirates
Euroatlantic Airways,YU,551,MMZ,Portugal
European Air Transport,QY,615,BCS,Germany
Eurowings,EW,104,EWG,Germany
EVA Air,BR,695,EVA,Chinese Taipei
Federal Express,FX,023,FDX,United States
Fiji Airways,FJ,260,FJI,Fiji
Finnair,AY,105,FIN,Finland
flybe,BE,267,BEE,United Kingdom
Freebird Airlines,FH,,FHY,Turkey
Garuda,GA,126,GIA,Indonesia
Georgian Airways,A9,606,TGZ,Georgia
Germania,ST,246,GMI,Germany
Gulf Air,GF,072,GFA,Bahrain
Hahn Air,HR*,169,HHN,Germany
Hainan Airlines,HU,880,CHH,China (People's Republic of)
Hawaiian Airlines,HA,173,HAL,United States
Hi Fly,5K,,HFY,Portugal
Hong Kong Airlines,HX,851,CRK,"Hong Kong SAR, China"
Hong Kong Express Airways,UO,128,HKE,"Hong Kong SAR, China"
IBERIA,IB,075,IBE,Spain
Icelandair,FI,108,ICE,Iceland
InselAir,7i,958,INC,Curaçao
Interair,D6,625,ILN,South Africa
InterSky,3L,222,,Austria
Iran Air,IR,096,IRA,"Iran, Islamic Republic of"
Iran Aseman Airlines,EP,815,IRC,"Iran, Islamic Republic of"
Israir,6H,818,ISR,Israel
Japan Airlines,JL,131,JAL,Japan
Jazeera Airways,J9,486,JZR,Kuwait
Jet Airways,9W,589,JAI,India
Jet Lite (India) Limited,S2,705,,India
JetBlue,B6,279,JBU,United States
Jordan Aviation,R5,151,JAV,Jordan
JSC Aircompany Yakutia,R3,849,SYL,Russian Federation
JSC Nordavia-RA,5N,316,AUL,Russian Federation
Juneyao Airlines,HO,018,DKH,China (People's Republic of)
Kenya Airways,KQ,706,KQA,Kenya
Kish Air,Y9,780,IRK,"Iran, Islamic Republic of"
KLM,KL,074,KLM,Netherlands
Korean Air,KE,180,KAL,Korea
Kuwait Airways,KU,229,KAC,Kuwait
LACSA,LR,133,LRC,Costa Rica
LAM,TM,068,LAM,Mozambique
Lan Airlines,LA,045,LAN,Chile
Lan Argentina,4M,469,DSM,Argentina
Lan Cargo,UC,145,LCO,Chile
Lan Perú,LP,544,LPE,Peru
LanEcuador,XL,462,LNE,Ecuador
LIAT Airlines,LI,140,LIA,Antigua and Barbuda
Libyan Airlines,LN,148,LAA,Libya
"LLC ""NORD WIND""",N4,216,NWS,Russian Federation
LOT Polish Airlines,LO,080,LOT,Poland
Lufthansa,LH,220,DLH,Germany
Lufthansa Cargo,LH,020,GEC,Germany
Lufthansa CityLine,CL,683,CLH,Germany
Luxair,LG,149,LGL,Luxembourg
Mahan Air,W5,537,IRM,"Iran, Islamic Republic of"
Malaysia Airlines,MH,232,MAS,Malaysia
Malmö Aviation,TF,276,SCW,Sweden
Martinair Cargo,MP,129,MPH,Netherlands
MAS AIR,M7,865,MAA,Mexico
MEA,ME,076,MEA,Lebanon
Meridiana fly,IG,191,ISS,Italy
MIAT,OM,289,MGL,Mongolia
Montenegro Airlines,YM,409,MGX,Montenegro
Nesma Airlines,NE,477,NMA,Egypt
NIKI,HG,,,Austria
Nile Air,NP,325,NIA,Egypt
Nippon Cargo Airlines (NCA),KZ,933,NCA,Japan
Nouvelair,BJ,796,LBT,Tunisia
Olympic Air,OA,050,OAL,Greece
Oman Air,WY,910,OAS,Oman
Onur Air,8Q,066,OHY,Turkey
PAL,PR,079,PAL,Philippines
Pegasus Airlines,PC,624,PGT,Turkey
PGA-Portugália Airlines,NI,685,PGA,Portugal
PIA,PK,214,PIA,Pakistan
Precision Air,PW,031,PRF,"Tanzania, United Republic of"
PrivatAir,PV,,PTI,Switzerland
Qantas,QF,081,QFA,Australia
Qatar Airways,QR,157,QTR,Qatar
Rossiya Airlines,FV,195,SDM,Russian Federation
Royal Air Maroc,AT,147,RAM,Morocco
Royal Brunei,BI,672,RBA,Brunei Darussalam
Royal Jordanian,RJ,512,RJA,Jordan
SAA,SA,083,SAA,South Africa
Safair,FA*,640,SFR,South Africa
Safi Airways,4Q,741,SFW,Afghanistan
SAS,SK,117,SAS,Sweden
SATA Air Açores,SP,737,SAT,Portugal
SATA Internacional,S4,331,RZO,Portugal
Saudi Arabian Airlines,SV,065,SVA,Saudi Arabia
Shandong Airlines,SC,324,CDG,China (People's Republic of)
Shanghai Airlines,FM,774,,China (People's Republic of)
Shenzhen Airlines,ZH,479,CSZ,China (People's Republic of)
SIA,SQ,618,SIA,Singapore
SIA Cargo,SQ,,SIA,Singapore
Siberia Airlines,S7,421,SBI,Russian Federation
Sichuan Airlines,3U,876,,China (People's Republic of)
Silkair,MI,629,SLK,Singapore
South African Express Airways,XZ,,EXY,South Africa
SriLankan,UL,603,ALK,Sri Lanka
Sudan Airways,SD,200,SUD,Sudan
SunExpress,XQ*,564,SXS,Turkey
Surinam Airways,PY,192,SLM,Suriname
SWISS,LX,724,SWR,Switzerland
SYPHAX AIRLINES,FS,393,SYA,Tunisia
Syrianair,RB,070,SYR,Syrian Arab Republic
TAAG - Angola Airlines,DT,118,DTA,Angola
TACA,TA,202,TAI,El Salvador
TACA Peru,T0,530,TPU,Peru
TACV Cabo Verde Airlines,VR,696,TCV,Cape Verde
TAM - Transportes Aéreos del Mercosur Sociedad Anónima,PZ,692,LAP,Paraguay
TAM Linhas Aéreas,JJ,957,TAM,Brazil
TAME - Linea Aérea del Ecuador,EQ,269,TAE,Ecuador
TAP Portugal,TP,047,TAP,Portugal
TAROM,RO,281,ROT,Romania
Tassili Airlines,SF,515,,Algeria
Thai Airways International,TG,217,THA,Thailand
THY - Turkish Airlines,TK,235,THY,Turkey
Tianjin Airlines,GS,826,GCR,China (People's Republic of)
TNT Airways S.A.,3V,756,TAY,Belgium
Transaero,UN,670,TSO,Russian Federation
TransAsia Airways,GE,170,TNA,Chinese Taipei
TUIfly,X3*,617,TUI,Germany
Tunisair,TU,199,TAR,Tunisia
Ukraine International Airlines,PS,566,AUI,Ukraine
United Airlines,UA,016,UAL,United States
UPS Airlines,5X,406,UPS,United States
US Airways,US,037,USA,United States
UTair,UT,298,UTA,Russian Federation
Uzbekistan Airways,HY,250,UZB,Uzbekistan
Vietnam Airlines,VN,738,HVN,Vietnam
Virgin Atlantic,VS,932,VIR,United Kingdom
Virgin Australia,VA,795,VAU,Australia
VLM Airlines,VG,,VLM,Belgium
Volaris,Y4*,036,VOI,Mexico
Volga-Dnepr Airlines,VI*,412,VDA,Russian Federation
VRG Linhas Aéreas S.A. - Grupo GOL,G3,127,GLO,Brazil
White coloured by you,WI,097,WHT,Portugal
Wideroe,WF,701,WIF,Norway
Xiamen Airlines,MF,731,CXA,China (People's Republic of)
Yemenia,IY,635,IYE,Yemen
Silk Way Airlines,ZP,463,AZQ,Azerbaijan
Silk Way West Airlines Limited,7L,501,,Azerbaijan
